0x4a8000|4|{f5}{DELAY:00}{COLOUR:WHITE}コントローラ{NL}振動　　　　　　　ＯＮ　ＯＦＦ{NL}サウンド　　　ステレオ　モノラル{NL}ＢＧＭ・ＶＯＬ　　　{DIGITS:0003}{NL}ＳＥ・ＶＯＬ　　　　{DIGITS:0103}{NL}スクリーン{NL}閉じる{NL}{OPTIONS:c700}　{END}|{f5}{DELAY:00}{COLOUR:WHITE}CONTROLS{NL}RUMBLE   ON  OFF{NL}SOUND    STEREO  MONO{NL}BGM       {DIGITS:0003}{NL}SFX       {DIGITS:0103}{NL}SCREEN{NL}BACK{NL}{OPTIONS:c700}{END}
||{DELAY:00}{COLOUR:WHITE}コントローラ{NL}振動　　　　　　　ＯＮ　ＯＦＦ{NL}サウンド　　　ステレオ　モノラル{NL}ＢＧＭ・ＶＯＬ　　　{DIGITS:0003}{NL}ＳＥ・ＶＯＬ　　　　{DIGITS:0103}{NL}スクリーン{NL}閉じる{NL}{OPTIONS:c780}ぢ{END}|{DELAY:00}{COLOUR:WHITE}CONTROLS{NL}RUMBLE   ON  OFF{NL}SOUND    STEREO  MONO{NL}BGM       {DIGITS:0003}{NL}SFX       {DIGITS:0103}{NL}SCREEN{NL}BACK{NL}{OPTIONS:c780}{END}
||{f5}{DELAY:00}{COLOUR:WHITE}　方向キーでスクリーンの調整を{NL}　行います。{NL}{COLOUR:YELLOW}　※{COLOUR:GREEN}△ボタン{COLOUR:YELLOW}でリセットできます。{NL}{COLOUR:WHITE}　　　　　　　閉じる{END}|{f5}{DELAY:00}{COLOUR:WHITE}Use {BUTTON:D} to move the screen.{NL}{COLOUR:YELLOW}*{BUTTON:TRIANGLE} to reset.{NL}{NL}{COLOUR:WHITE}       BACK{END}
||{f5}{DELAY:00}{COLOUR:WHITE}コントローラ{NL}閉じる{NL}{OPTIONS:c200}　{END}|{f5}{DELAY:00}{COLOUR:WHITE}CONTROLS{NL}BACK{NL}{OPTIONS:c200}{END}
0x4a8120|49|{f5}{DELAY:00}{COLOUR:WHITE}ファイルを手に入れていません。{END}|{f5}{DELAY:00}{COLOUR:WHITE}NO FILES{END}
||{f5}{DELAY:00}{COLOUR:WHITE}予言書{END}|{f5}{DELAY:00}{COLOUR:WHITE}PROPHECY BOOK{END}
||{f5}{DELAY:00}{COLOUR:WHITE}クイントの手紙{END}|{f5}{DELAY:00}{COLOUR:WHITE}QUINT'S LETTER{END}
||{f5}{DELAY:00}{COLOUR:WHITE}『泉のかがやき』の楽譜{END}|{f5}{DELAY:00}{COLOUR:WHITE}"BRIGHT SPRING" SCORE{END}
||{f5}{DELAY:00}{COLOUR:WHITE}『命のきらめき』の楽譜{END}|{f5}{DELAY:00}{COLOUR:WHITE}"LIFE GLOW" SCORE{END}
||{f5}{DELAY:00}{COLOUR:WHITE}『黄金の光』の楽譜{END}|{f5}{DELAY:00}{COLOUR:WHITE}"GOLDEN LIGHT" SCORE{END}
||{f5}{DELAY:00}{COLOUR:WHITE}計算問題{END}|{f5}{DELAY:00}{COLOUR:WHITE}EQUATION{END}
||{f5}{DELAY:00}{COLOUR:WHITE}塔案内{END}|{f5}{DELAY:00}{COLOUR:WHITE}TOWER GUIDE{END}
||{f5}{DELAY:00}{COLOUR:WHITE}魔獣のメモ{END}|{f5}{DELAY:00}{COLOUR:WHITE}MONSTER NOTE{END}
||{f5}{DELAY:00}{COLOUR:WHITE}不死身の戦士のメモ{END}|{f5}{DELAY:00}{COLOUR:WHITE}UNDEAD MINION NOTE{END}
||{f5}{DELAY:00}{COLOUR:WHITE}エネルギー中継所案内{END}|{f5}{DELAY:00}{COLOUR:WHITE}POWER PLANT GUIDE{END}
||{f5}{DELAY:00}{COLOUR:WHITE}絵の具のメモ{END}|{f5}{DELAY:00}{COLOUR:WHITE}PAINT NOTE{END}
||{f5}{DELAY:00}{COLOUR:WHITE}魔法使いのメモ{END}|{f5}{DELAY:00}{COLOUR:WHITE}WIZARD NOTE{END}
||{END}|{END}
||{f5}{DELAY:00}{COLOUR:WHITE}{NL}{NL}　　ボーズへ{NL}{NL}　　グディアのいる悪魔の塔は、{NL}　　地下牢獄の北にあるようだ。{NL}　　俺は溶岩洞窟を調べてみる{NL}　　つもりだ。{NL}　　早く俺に追いついて来い。{NL}{NL}　　　　　　　　　　　クイント{END}|{f5}{DELAY:00}{COLOUR:WHITE}{NL}{NL}Kid,{NL}{NL}Gudia is at the Demon Tower{NL}north of the jail. I'll go to{NL}the lava cave. Come quick.{NL}{NL}Quint.{END}
||{f5}{DELAY:00}{COLOUR:WHITE}{NL}{NL}{NL}{NL}{NL}{NL}　　　　{PLANE}　{CHEVRON}　{SMILE}　{PLANE}　{CHEVRON}{END}|{f5}{DELAY:00}{COLOUR:WHITE}{NL}{NL}{PLANE} {CHEVRON} {SMILE} {PLANE} {CHEVRON}{END}
||{f5}{DELAY:00}{COLOUR:WHITE}{NL}{NL}{NL}{NL}{NL}{NL}　　　　{PLANE}　{SMILE}　{IDK}　{CHEVRON}　{ARROWDOWN}{END}|{f5}{DELAY:00}{COLOUR:WHITE}{NL}{NL}{PLANE} {SMILE} {IDK} {CHEVRON} {ARROWDOWN}{END}
||{f5}{DELAY:00}{COLOUR:WHITE}{NL}{NL}{NL}{NL}{NL}{NL}　　　　{IDK}　{CHEVRON}　{ARROWDOWN}　{SMILE}　{PLANE}{END}|{f5}{DELAY:00}{COLOUR:WHITE}{NL}{NL}{IDK} {CHEVRON} {ARROWDOWN} {SMILE} {PLANE}{END}
||{f5}{DELAY:00}{COLOUR:WHITE}{NL}　　　　　　▽＋◇＝Ｏ{NL}　　　　　　{HEXAGON}－▽＝？{NL}　　　　　　◇＋◇＝？{NL}　　　　　　Ｏ－{HEXAGON}＝？{END}|{f5}{DELAY:00}{COLOUR:WHITE}{NL}{DOWNTRIANGLE}+{DIAMOND}={CIRCLE}{NL}{HEXAGON}-{DOWNTRIANGLE}=?{NL}{DIAMOND}+{DIAMOND}=?{NL}{CIRCLE}-{HEXAGON}=?{END}
||{f5}{DELAY:00}{COLOUR:WHITE}{NL}{NL}　　　　　　Ｆせ　を{NL}　　　　　　とおなＤあ{NL}　　　　か　てＥけにぞ{NL}　　　ゆＣはいあ　きＢせ{NL}　　　　うかＡ２　　の{NL}　　　　　　２{NL}{NL}　　Ａ→Ｂ→Ｃ→Ｄ→Ｅ→Ｆ{NL}　　南→東→西→北{END}|{f5}{DELAY:00}{COLOUR:WHITE}{NL}{COLOUR:RED}{CIRCLE}{COLOUR:WHITE}styer{NL}ea{COLOUR:GREEN}{TRIANGLE}{COLOUR:WHITE}uhy{NL}pdta{COLOUR:CYAN}{HEXAGON}{COLOUR:WHITE}o{NL}r{COLOUR:BLUE}{CROSS}{COLOUR:WHITE}peba{NL}tow{COLOUR:PINK}{SQUARE}{COLOUR:WHITE}tm{NL}{COLOUR:YELLOW}{DIAMOND}{COLOUR:WHITE}hzib{COLOUR:GREY}{DOWNTRIANGLE}{NL}{NL}{COLOUR:BLUE}{CROSS}{COLOUR:WHITE}{RIGHT}{COLOUR:YELLOW}{DIAMOND}{COLOUR:WHITE}{RIGHT}{COLOUR:RED}{CIRCLE}{COLOUR:WHITE}{RIGHT}{COLOUR:GREEN}{TRIANGLE}{COLOUR:WHITE}{RIGHT}{COLOUR:PINK}{SQUARE}{COLOUR:WHITE}{RIGHT}{COLOUR:CYAN}{HEXAGON}{COLOUR:WHITE}{RIGHT}{COLOUR:GREY}{DOWNTRIANGLE}{COLOUR:WHITE}{NL}N{RIGHT}W{RIGHT}S{RIGHT}E{END}
||{f5}{DELAY:00}{COLOUR:WHITE}{NL}{NL}{NL}　　強大なる魔獣を打ち破る術は{NL}　　ただ一つ。{NL}{NL}　　その赤き胸をねらうべし。{NL}{NL}　　さもなくばおぞましき死が{NL}　　訪れるであろう。{END}|{f5}{DELAY:00}{COLOUR:WHITE}{NL}{NL}Defeat the beast by aiming at{NL}its red chest, lest you meet a{NL}bloody end.{END}
||{f5}{DELAY:00}{COLOUR:WHITE}{NL}{NL}　　暗黒の魔術にて復活せし{NL}　　不死身の戦士を打ち破る{NL}　　術はただ一つ。{NL}{NL}　　せいなる炎にて{NL}　　焼き払うべし。{NL}{NL}　　さもなくばおぞましき死が{NL}　　訪れるであろう。{END}|{f5}{DELAY:00}{COLOUR:WHITE}{NL}{NL}Defeat the minion by burning{NL}her with holy fire, lest you{NL}meet a bloody end.{END}
||{f5}{DELAY:00}{COLOUR:WHITE}{NL}　　『エネルギー中継所案内』{NL}　　エネルギー中継所までは、{NL}　　地下水脈のトロッコを{NL}　　利用して下さい。{NL}{NL}　　エネルギー中継所にある{NL}　　エネルギー中継機は、大変{NL}　　頑丈にできていますが、{NL}　　一部もろい部分があり、{NL}　　この部分にはむやみに触れ{NL}　　ないようにして下さい。{END}|{f5}{DELAY:00}{COLOUR:WHITE}{NL}Power Plant Guide{NL}Reach the plant via the cart{NL}running on the sewers.{NL}Plant equipment is sturdy, but{NL}has some weak spots.{NL}Be careful.{END}
